Model,Dataset,Seed,Batch Size,Num Epoch,Num Devices,Training Time,Train Accuracy,Valid Accuracy,Test Accuracy
ResNet,MNIST,42,64,1,1,38.51277542114258,97.17897033691406,97.51667022705078,98.03999328613281
ResNet,MNIST,42,64,10,1,403.6231689453125,99.66636657714844,99.3499984741211,99.5199966430664
ResNet,CIFAR-10,42,256,1,1,34.299922943115234,98.29985046386719,98.48333740234375,98.8699951171875
ResNet,ImageNet,42,256,1,1,34.28474807739258,97.87388610839844,98.03333282470703,98.55999755859375
AlexNet,ImageNet,42,256,1,1,37.35341262817383,98.3500747680664,98.48333740234375,98.7199935913086
VGG16,CIFAR-10,42,256,1,1,34.5691032409668,98.18824768066406,98.36666870117188,98.7699966430664
VGG16,ImageNet,42,256,1,1,31.878307342529297,98.14360046386719,98.41667175292969,98.7699966430664
ResNet,MNIST,42,256,20,1,640.4915161132812,99.84002685546875,99.3499984741211,99.45999908447266
ResNet,MNIST,42,128,20,1,649.9352416992188,99.82742309570312,99.3499984741211,99.5999984741211
ResNet,MNIST,42,64,20,1,699.6023559570312,99.89249420166016,99.3499984741211,99.5999984741211
ResNet,MNIST,42,32,20,1,827.642333984375,99.7369613647461,99.28333282470703,99.49999237060547
AlexNet,MNIST,42,256,20,1,610.754638671875,99.765625,99.25,99.33999633789062
AlexNet,MNIST,42,128,20,1,633.93798828125,99.80886840820312,99.26666259765625,99.54999542236328
AlexNet,MNIST,42,64,20,1,684.1990966796875,99.87581634521484,99.38333892822266,99.55999755859375
AlexNet,MNIST,42,32,20,1,823.4208374023438,99.7758560180664,99.38333892822266,99.48999786376953
VGG16,MNIST,42,256,20,1,610.7825927734375,99.7358627319336,99.29999542236328,99.42999267578125
VGG16,MNIST,42,128,20,1,642.431396484375,99.80143737792969,99.38333892822266,99.56999969482422
